,energy,max_power,max_power_freq,mean_spectrum,var_spectrum,max_spectrum,entropy,min_spectrum,no_zero_crossings,no_mean_crossings,n5,n25,n75,n95,median,mean,std,var,rms,TipoSismo
79,2.2066478896105068e-06,1.6521999609162184e-07,4.6875,6.135936467713648e-07,6.934139947516225e-11,5.130306099308946e-05,5.859082775455287e-23,10.33266918726161,378.0,333.0,-1.9223757483207217e-05,-6.580614396143578e-13,1.6968082042311963e-12,2.006358725752207e-05,1.4233323961344204e-20,-1.9787781925944863e-07,0.0001388481551028425,1.927881017546301e-08,1.374839846641438e-05,sisReg
80,6.713268991763562e-11,7.923648979481505e-12,4.6875,3.348720553595989e-09,2.1102712472614848e-15,2.783437501153646e-07,7.169719584860734e-25,10.33266918726161,447.0,397.0,-9.853191163344644e-08,-1.4950520017897045e-14,1.2070392781562943e-14,1.0469339904787033e-07,-1.4634076211054734e-23,-9.640153163853766e-10,7.687259559990096e-07,5.909395954265913e-13,7.954594760846408e-08,sisReg
81,0.11142777157922462,0.026379746440682663,0.1953125,0.00011056090395420194,3.3352036405713393e-06,0.00388080403934579,2.5010431325806152e-14,10.33266918726161,527.0,503.0,-0.01407522437967987,-0.00022964309241848698,0.000441672161011941,0.019147819147827032,6.402954410226146e-12,0.0001139765915878898,0.03286223619669773,0.0010799265678475506,0.008713067007586383,sisReg
82,5.961128576921165e-06,2.435107710528405e-07,4.4921875,1.5812980775300511e-06,1.6795930297944717e-10,4.639941838940658e-05,1.2064818565328944e-18,10.33266918726161,935.0,905.0,-0.00021048456534433505,-6.0620628014555386e-09,1.5746887721232708e-08,0.00021161109827740691,2.03077567233199e-16,-9.109348807434598e-08,0.00024226401568875158,5.8691853297639665e-08,7.041524433716358e-05,sisReg
83,1.6827130043494646e-10,8.940569577524694e-12,4.4921875,8.260619709252223e-09,4.686163897470358e-15,1.880967572575365e-07,2.392110070342486e-20,10.33266918726161,1136.0,1109.0,-1.1643122337550022e-06,-2.201334126408128e-10,2.5942025091160654e-10,1.1886690918748497e-06,9.950746288678384e-20,-1.0290923135841917e-10,1.3030968813422833e-06,1.6980614821639849e-12,3.949493802012309e-07,sisReg
84,0.1122545895041115,0.02963045606576488,0.1953125,7.789474262089076e-05,3.464562448837008e-06,0.004083797502721742,1.3539698277984157e-16,10.33266918726161,325.0,299.0,-0.011375503150135751,-3.7522497365162965e-06,5.229574603405037e-06,0.009567865617397456,6.231658751552054e-15,1.877904977438322e-05,0.03314648522915577,0.0010986894830466414,0.006874525563356414,sisReg
85,3.7255514180353625e-06,2.3145154167464623e-07,3.90625,9.771933852055518e-07,1.135189085957339e-10,5.485832843367317e-05,7.553868053523565e-21,10.33266918726161,696.0,659.0,-0.00011267641216122343,-5.455644670505132e-11,1.5336149601478723e-10,0.0001122926861354108,1.4331759120664595e-18,1.5310793297273998e-07,0.00017938418333239003,3.2178685229828515e-08,3.156712524579264e-05,sisReg
86,1.0323642841363858e-10,8.872537794522832e-12,4.6875,5.698076765644055e-09,3.1132204624922384e-15,2.995138199424818e-07,4.7171234317029e-23,10.33266918726161,839.0,799.0,-6.852244248031612e-07,-9.519536585659442e-13,8.291086773032541e-13,6.899748327431053e-07,-2.4306639978134216e-21,8.346642472031535e-10,9.512192699517077e-07,9.048180995274598e-13,1.928127975064164e-07,sisReg
87,0.10669429776268763,0.02820334092408526,0.1953125,8.981804267500342e-05,3.278298652078195e-06,0.004031288604582727,1.6541139067888126e-13,10.33266918726161,608.0,593.0,-0.011328494929548379,-0.0005809423868150471,0.0007332992086908587,0.0096779092533383,3.178983116579014e-11,4.8903395418662205e-05,0.0323536019191439,0.0010467555571424321,0.007260471553799977,sisReg
88,4.232001589133643e-06,2.4069686885848785e-07,3.90625,1.4096354795011569e-06,1.228055534341047e-10,6.270086561061676e-05,9.982490179556483e-18,10.33266918726161,1135.0,1107.0,-0.0001542609360207802,-2.7715868366741247e-08,1.1442701806578533e-07,0.00015061275604044043,1.9845825473047154e-15,2.096527430643478e-07,0.00019305236889002124,3.726921713404884e-08,4.972608250648126e-05,sisReg
89,1.2772769245373676e-10,8.37703808943382e-12,4.6875,8.805109304801177e-09,3.608432168297822e-15,3.7551667282936555e-07,8.197206607209434e-20,10.33266918726161,1388.0,1357.0,-1.011795058707112e-06,-9.362618958049244e-10,6.42038576942226e-10,9.954693723319242e-07,-1.770335784029033e-18,1.300265208934699e-09,1.0700392957311028e-06,1.1449840944087146e-12,3.1867166457887484e-07,sisReg
90,0.08157829101887278,0.01989504955697105,0.1953125,0.00012331370694308768,2.4283039901707703e-06,0.0034044143862141836,5.094471226968111e-14,10.33266918726161,707.0,688.0,-0.018470024929853838,-0.00023392937229191042,0.002121493109302121,0.015137222910261018,4.0003109982728764e-10,7.469885497210671e-05,0.02830090166523312,0.0008009410350651948,0.008238601864953258,sisReg
91,6.51880172841118e-06,2.042542724003987e-07,3.90625,2.370825368154877e-06,1.533370847952348e-10,4.362028591961613e-05,4.411875649398574e-18,10.33266918726161,1150.0,1121.0,-0.00036990991714083124,-2.5160570844150406e-08,1.7395550531674803e-07,0.00036945515263959343,2.6860404597174573e-15,-1.0738731136337532e-07,0.0002580367681723529,6.65829737288326e-08,0.00011228914647659195,sisReg
92,1.9471142936102056e-10,7.182848455528892e-12,4.4921875,1.3708136245967628e-08,4.439444061770375e-15,2.4923508536518675e-07,1.6913535141282556e-19,10.33266918726161,1313.0,1287.0,-2.0459123842766712e-06,-3.2138726581667854e-09,3.0109104755188524e-09,2.1243203483551277e-06,2.4023750411057332e-18,-6.767745725390327e-10,1.4244370121454803e-06,2.029020801569943e-12,6.410919341480113e-07,sisReg
93,0.10664323266649771,0.027325517267959627,0.1953125,9.245613045379376e-05,3.2667730973366955e-06,0.003968058309326433,4.500592332579129e-16,10.33266918726161,460.0,438.0,-0.01443532807431482,-1.1301580376832098e-05,2.1801322201808826e-05,0.012227939746735299,1.3309088017239954e-13,-7.164641823974603e-05,0.03227876756912699,0.0010419188357817244,0.007399448961061608,sisReg
94,5.048293385347599e-06,2.9371887072918445e-07,4.4921875,1.3437501279782923e-06,1.437212058597505e-10,4.116637418310341e-05,4.414307301756837e-20,10.33266918726161,807.0,775.0,-0.0002366710043386887,-1.6558026508610028e-10,5.680112108364666e-10,0.00023703442005301774,9.71642604387578e-18,4.075575040277038e-08,0.00021724776185151894,4.7196590029494293e-08,6.282418903804553e-05,sisReg
