,n_components,accuracy
232,932,0.537467700258398
233,936,0.537467700258398
234,940,0.5219638242894057
235,944,0.5529715762273901
236,948,0.5271317829457365
237,952,0.5297157622739018
238,956,0.5142118863049095
239,960,0.5142118863049095
240,964,0.5193798449612403
241,968,0.4935400516795866
242,972,0.5116279069767442
243,976,0.5038759689922481
244,980,0.5116279069767442
245,984,0.5116279069767442
246,988,0.49870801033591733
247,992,0.4883720930232558
248,996,0.4909560723514212
249,1000,0.5090439276485789
250,1004,0.5090439276485789
251,1008,0.4935400516795866
252,1012,0.4909560723514212
253,1016,0.5038759689922481
254,1020,0.5116279069767442
255,1024,0.5038759689922481
256,1028,0.49870801033591733
257,1032,0.5038759689922481
258,1036,0.4935400516795866
259,1040,0.49870801033591733
260,1044,0.48578811369509045
261,1048,0.48578811369509045
262,1052,0.49870801033591733
263,1056,0.4909560723514212
264,1060,0.4754521963824289
265,1064,0.46770025839793283
266,1068,0.4754521963824289
267,1072,0.4728682170542636
268,1076,0.4780361757105943
269,1080,0.4728682170542636
270,1084,0.46511627906976744
271,1088,0.45478036175710596
272,1092,0.46770025839793283
273,1096,0.4599483204134367
274,1100,0.46511627906976744
275,1104,0.45219638242894056
276,1108,0.4573643410852713
277,1112,0.45219638242894056
278,1116,0.4573643410852713
279,1120,0.45219638242894056
280,1124,0.4392764857881137
281,1128,0.4573643410852713
282,1132,0.4470284237726098
283,1136,0.45219638242894056
284,1140,0.4444444444444444
285,1144,0.45478036175710596
286,1148,0.4444444444444444
287,1152,0.45219638242894056
288,1156,0.45478036175710596
289,1160,0.4496124031007752
290,1164,0.4392764857881137
291,1168,0.4418604651162791
292,1172,0.4418604651162791
293,1176,0.4418604651162791
294,1180,0.4444444444444444
295,1184,0.4392764857881137
296,1188,0.4392764857881137
297,1192,0.4496124031007752
298,1196,0.4496124031007752
299,1200,0.4418604651162791
300,1204,0.43669250645994834
301,1208,0.4263565891472868
302,1212,0.43410852713178294
303,1216,0.43410852713178294
304,1220,0.4315245478036176
305,1224,0.4418604651162791
306,1228,0.43669250645994834
307,1232,0.4315245478036176
308,1236,0.4289405684754522
309,1240,0.4289405684754522
310,1244,0.4263565891472868
311,1248,0.43410852713178294
312,1252,0.4263565891472868
313,1256,0.42118863049095606
314,1260,0.4289405684754522
315,1264,0.4263565891472868
316,1268,0.4289405684754522
317,1272,0.4289405684754522
318,1276,0.4289405684754522
319,1280,0.4289405684754522
320,1284,0.4289405684754522
